workload,n_geoms_r,n_geoms_s,n_candidates,n_intersect,selectivity,gap_mean,gap_frac_overlap,gap_p50,phi_prog,phi_brink,decvert_prog,decvert_naive,decvert_brink,decbytes_prog,decbytes_naive,ratio_naive_over_prog,ratio_brink_over_prog,correct,family,separation,seed
syn_sep0.0_s1,70,70,656,656,1.0,0.0,1.0,0.0,0.594972580582261,0.6290959670335589,320385,538487,338760,2190309,3468736,1.6807497229895283,1.0573528723254835,1,synthetic,0.0,1
syn_sep0.0_s2,70,70,517,517,1.0,0.0,1.0,0.0,0.5786292885288714,0.6202798738141185,250370,432695,268392,1690626,2756203,1.728222231097975,1.0719814674282062,1,synthetic,0.0,2
syn_sep0.0_s3,70,70,614,614,1.0,0.0,1.0,0.0,0.5775503553899106,0.6143337202908291,283583,491010,301644,1933141,3148436,1.731450756921254,1.0636885849998061,1,synthetic,0.0,3
syn_sep0.3_s1,70,70,398,398,1.0,0.0,1.0,0.0,0.5996240142581606,0.6399143045484509,196480,327672,209682,1343684,2112808,1.6677117263843648,1.0671925895765473,1,synthetic,0.3,1
syn_sep0.3_s2,70,70,300,300,1.0,0.0,1.0,0.0,0.5631072970913248,0.6018314175028578,141867,251936,151623,962267,1605924,1.7758604890496028,1.068768635412041,1,synthetic,0.3,2
syn_sep0.3_s3,70,70,386,386,1.0,0.0,1.0,0.0,0.5671199611461875,0.6022697102153148,175155,308850,186011,1198703,1982411,1.763295366960692,1.0619793896834233,1,synthetic,0.3,3
syn_sep0.6_s1,70,70,265,265,1.0,0.0,1.0,0.0,0.5845919573808351,0.6223023734053467,127071,217367,135268,873118,1402549,1.7105948642884687,1.064507243981711,1,synthetic,0.6,1
syn_sep0.6_s2,70,70,213,213,1.0,0.0,1.0,0.0,0.5863810158257433,0.6331920753724116,104747,178633,113109,705945,1137254,1.7053758102857361,1.0798304486047332,1,synthetic,0.6,2
syn_sep0.6_s3,70,70,283,283,1.0,0.0,1.0,0.0,0.5926715069694989,0.6336693494239085,132404,223402,141563,902394,1435130,1.6872753089030543,1.0691746472916226,1,synthetic,0.6,3
syn_sep1.0_s1,70,70,185,185,1.0,0.0,1.0,0.0,0.6003364881893987,0.6423505912003646,89563,149188,95831,612647,961926,1.6657325011444457,1.0699842568917968,1,synthetic,1.0,1
syn_sep1.0_s2,70,70,131,131,1.0,0.0,1.0,0.0,0.5810952751770224,0.6210181278183234,64175,110438,68584,431595,701985,1.720888196338138,1.0687027658745618,1,synthetic,1.0,2
syn_sep1.0_s3,70,70,193,193,1.0,0.0,1.0,0.0,0.5935912205581712,0.6321544393316862,89139,150169,94930,607062,964471,1.684661035012733,1.0649659520524126,1,synthetic,1.0,3
syn_sep1.5_s1,70,70,120,120,1.0,0.0,1.0,0.0,0.6257522580917149,0.664284735616193,59372,94881,63028,405460,613305,1.5980765343933168,1.0615778481439062,1,synthetic,1.5,1
syn_sep1.5_s2,70,70,90,90,1.0,0.0,1.0,0.0,0.5691495662932884,0.616784910428705,43240,75973,46859,292132,483178,1.7570074005550416,1.083695652173913,1,synthetic,1.5,2
syn_sep1.5_s3,70,70,127,127,1.0,0.0,1.0,0.0,0.5822943518862153,0.6074004232825461,58053,99697,60556,396923,641357,1.7173444955471724,1.0431157735173031,1,synthetic,1.5,3
syn_sep2.5_s1,70,70,59,59,1.0,0.0,1.0,0.0,0.6308730812930247,0.6612159422549959,28318,44887,29680,194208,291394,1.585104880288156,1.0480966169927255,1,synthetic,2.5,1
syn_sep2.5_s2,70,70,49,49,1.0,0.0,1.0,0.0,0.566265356870276,0.6131422803259718,23000,40617,24904,154726,257363,1.7659565217391304,1.0827826086956522,1,synthetic,2.5,2
syn_sep2.5_s3,70,70,77,77,1.0,0.0,1.0,0.0,0.5823768001707802,0.6120334335024714,35465,60897,37271,242022,391287,1.7171013675454674,1.0509234456506416,1,synthetic,2.5,3
nc2_combs,1,1,1,1,1.0,0.0,1.0,0.0,0.9938650306748467,0.9938650306748467,324,326,324,1468,1478,1.0061728395061729,1.0,1,adversarial,-1,0
