workload,i,j,intersects,dec_vert,dec_bytes,total_vert,cert_level_r,cert_level_s,eta_star,band_b,band_w,mbr_gap,size_v,margin,abs_margin,log_abs_margin,phi_pair,family
tiger_06075_d0.1,0,8,1,641,2952,2901,5,3,0.00015921754854685932,57,0.01217720701221692,0.0,2901,0.00013653594475748342,0.00013653594475748342,-3.8647529970555605,0.2209582902447432,tiger
tiger_06075_d0.1,0,6,1,3021,12195,3550,6,5,9.881093878636444e-05,56,0.011541781512017697,0.0,3550,7.851291331983802e-05,7.851291331983802e-05,-4.105058901770076,0.8509859154929578,tiger
tiger_06075_d0.1,0,0,1,36,225,5702,0,0,0.013814410862136972,5699,0.013813833495455433,0.0,5702,0.02774778679604666,0.02774778679604666,-1.5567716511056857,0.006313574184496668,tiger
tiger_06075_d0.1,1,1,1,10,60,130,1,1,0.0003248087222276965,107,0.0018283159910603955,0.0,130,0.0004009922120567302,0.0004009922120567302,-3.396864060944229,0.07692307692307693,tiger
tiger_06075_d0.1,2,2,1,10,66,796,1,1,0.0008167360090014724,769,0.003128511626957685,0.0,796,0.0006887509646849398,0.0006887509646849398,-3.161937779223503,0.01256281407035176,tiger
tiger_06075_d0.1,3,3,1,282,1074,282,2,2,0.0,235,0.0002733242705972876,0.0,282,7.423475649235058e-05,7.423475649235058e-05,-4.129392705869688,1.0,tiger
tiger_06075_d0.1,4,4,1,26,125,314,3,2,0.0002763779293871671,289,0.0008640217807470599,0.0,314,0.00011581924353119015,0.00011581924353119015,-3.9362192722208578,0.08280254777070063,tiger
tiger_06075_d0.1,5,5,1,55,219,100,2,1,8.901538032955867e-05,60,0.0002557118653684853,0.0,100,5.68510449128785e-05,5.68510449128785e-05,-4.245261541002398,0.55,tiger
tiger_06075_d0.1,6,16,1,248,1122,1362,5,4,9.881093878636444e-05,148,0.011803983010578218,0.0,1362,0.0001244875648515734,0.0001244875648515734,-3.9048740248873384,0.18208516886930984,tiger
tiger_06075_d0.1,6,6,1,10,68,1398,0,0,0.009643831910200368,1390,0.009643831910200368,0.0,1398,0.016430477286919192,0.016430477286919192,-1.7843498205881354,0.00715307582260372,tiger
tiger_06075_d0.1,7,7,1,18,83,166,2,2,9.37082310773597e-05,140,0.00041082341846885396,0.0,166,0.00010153839815460048,0.00010153839815460048,-3.9933696879257403,0.10843373493975904,tiger
tiger_06075_d0.1,8,8,1,13,80,100,3,2,0.00060014881441336,90,0.010734932370540571,0.0,100,0.0005688475560713537,0.0005688475560713537,-3.2450041026610488,0.13,tiger
tiger_06075_d0.1,9,9,1,18,83,104,2,2,8.37822517278747e-05,72,0.0008974470585919787,0.0,104,0.00012624882812133363,0.00012624882812133363,-3.8987726409994146,0.17307692307692307,tiger
tiger_06075_d0.1,10,10,1,14,73,224,1,1,0.00028573665983754363,176,0.00064697919616489,0.0,224,0.00026780647753031503,0.00026780647753031503,-3.5721789211405355,0.0625,tiger
tiger_06075_d0.1,11,11,1,11,58,110,1,2,9.184716443398871e-05,79,0.000332442916583134,0.0,110,8.290699907646154e-05,8.290699907646154e-05,-4.081408799169454,0.1,tiger
tiger_06075_d0.1,12,12,1,10,54,114,1,1,0.00021164412476695895,85,0.0006186577401811925,0.0,114,0.00022881577708207027,0.00022881577708207027,-3.640514031899468,0.08771929824561403,tiger
